name	gender	count
benedetto	male	2
beauchamp	NA	2
basil william	male	2
basil	male	2
bartolomej	NA	2
aylett	NA	2
aulay	male	2
augustin	male	2
archibald campbell earl of	male	2
anton	male	2
ant jaq	NA	2
anselm	male	2
anna maria	female	2
ann	female	2
anders	male	2
álvaro de	male	2
alonso de	male	2
algernon percy	male	2
albertus	male	2
alban	male	2
agmondisham	NA	2
agamemnon shaglock van	male	2
adoniram	male	2
abiezer	male	2
abednego	male	2
zacharias	male	1
zabdiel	male	1
winston	male	1
william steel	male	1
william stanhope	male	1
william russell	male	1
william richardson	male	1
william moore	male	1
william lindsay	male	1
william lewis	male	1
william kerr	male	1
william julius	male	1
william james	male	1
william howard	male	1
william grant	male	1
william graham	male	1
william george richard stanley	male	1
william fiennes	male	1
william douglas	male	1
william cunningham	male	1
whitelocke	NA	1
wenceslaus	male	1
wellins	NA	1
watkin	NA	1
walter sir	male	1
walraven van	NA	1
waller	male	1
w d	NA	1
w c	NA	1
w a	NA	1
virgilio	male	1
vincenzio	male	1
vavasor	NA	1
vasco	male	1
v j	NA	1
v	NA	1
ulpian	NA	1
trophime-grard	NA	1
trophime-gerard	NA	1
treadway russell	NA	1
torquato	NA	1
tim	male	1
tiberius	male	1
thornhagh	NA	1
thomas west	male	1
thomas w	male	1
thomas turner	male	1
thomas terry	male	1
thomas pope	male	1
thomas p	male	1
thomas hooper	male	1
thomas henry	male	1
thomas hamilton	male	1
thomas green	male	1
thomas dungan	male	1
thomas dongan	male	1
thomas de	male	1
thomas arthur de	male	1
tho	male	1
theobald	male	1
thémiseul de	NA	1
the court of the king of great britain	NA	1
thaddeus mason	male	1
tench	NA	1
temple henry	female	1
tanfield	NA	1
tancred	male	1
t h b	NA	1
sylvanus	male	1
syl	male	1
styan	NA	1
stephen row	male	1
stephen martin	male	1
stephanus	male	1
stepan petrovich	male	1
st john	male	1
sir william	male	1
sir maurice	male	1
sir george	male	1
sir audley	male	1
simon fraser	male	1
simon de	male	1
silvanus	male	1
shippie	NA	1
sherman	male	1
sharon	female	1
serenus	male	1
sedgwick	male	1
sébastien	NA	1
sebastian	male	1
seaborn	male	1
scipione	NA	1
scévole de	NA	1
sayer	male	1
sawney	male	1
sarah wentworth	female	1
sancho manuel de vilhena	male	1
samuel taylor	male	1
samuel morton	male	1
samson	male	1
sampson	male	1
salomon	male	1
sake deen	NA	1
s	NA	1
rudolf erich	male	1
roger de rabutin	male	1
rodolphe	male	1
robert spencer	male	1
robert ridgeway	male	1
robert pool	male	1
robert hay	male	1
robert dundas	male	1
robert de	male	1
robert carter	male	1
robert boucher	male	1
robert anthony	male	1
ridgly	NA	1
richard nash	male	1
richard downing	male	1
richard de	male	1
richard coote	male	1
reymer	NA	1
reuben	male	1
return jonathan	NA	1
rené-louis de voyer	NA	1
rené goulaine de	NA	1
rené	NA	1
reeve	male	1
redmond	male	1
reay	NA	1
raymond de	male	1
raunce	NA	1
raphe	NA	1
randle	male	1
randall	male	1
rachel	female	1
r legge	NA	1
r b	NA	1
quirin	male	1
queen consort of henry iv king of france	female	1
priscilla	female	1
pons de lauzière	male	1
pieter de	male	1
pierre-victor	NA	1
pierre-curel	NA	1
pierre-alphonse	NA	1
pierre le pesant	male	1
pierre joseph antoine	male	1
pierre drapeyron de	male	1
pierre augustin caron de	male	1
philopater	male	1
phillis	female	1
phillips	male	1
phillip	male	1
philips van	male	1
philippe-auguste de sainte-foix	NA	1
philippe de montault de bénac	male	1
philipp georg friedrich von	male	1
philip yorke	male	1
philip stanhope	male	1
philip sidney	male	1
philip herbert	male	1
philip carteret	male	1
petrus	male	1
petruccio	NA	1
peter philanthropos	male	1
peregrine osborne	male	1
pedro de la	male	1
paul philippe	male	1
paul françois	male	1
patrick murray	male	1
patrick grant	male	1
patience	female	1
pantaleão	NA	1
p j b	NA	1
p f	NA	1
owen	male	1
oliver st john	male	1
of uppsala	NA	1
norman	male	1
noël antoine	NA	1
nikolaas	male	1
niels	male	1
nicolaus	male	1
niccolò	NA	1
niccolao	NA	1
neil	male	1
nathaniel brassey	male	1
nat	male	1
n x	NA	1
mylo	male	1
mungo	male	1
muhammad	male	1
moses c	male	1
morgan j	female	1
molly	female	1
mikhail vasilʹevich	male	1
miguel de	male	1
miguel	male	1
michiel van	male	1
michel armand	male	1
michael von	male	1
mervyn	male	1
meriwether	female	1
mercurius	NA	1
melchior	male	1
maximilien de bthune	male	1
maximilien de béthune	male	1
maurice auguste	male	1
matthieu	male	1
mather	male	1
math	male	1
mary lindley	female	1
mary julia	female	1
mary anne	female	1
martino	male	1
mark anthony de	male	1
mark anthony	male	1
marie joseph paul roche yves gilbert du motier	female	1
marguerite de	female	1
margaret askew fell	female	1
marcus friedrich	male	1
marco	male	1
marc-rené-marie d'amarzit de sahuguet d'	NA	1
mann	male	1
malachy	male	1
major	male	1
magdalen	female	1
lydia	female	1
luís de	NA	1
luis de	male	1
luis	male	1
ludovic lindsay	male	1
lucius quintius	male	1
louise-marguerite de lorraine	NA	1
louis-rené de caradeuc de	NA	1
louis-charles de hautefort	NA	1
louis-antoine de	NA	1
louis-alexandre	NA	1
louis philippe joseph	male	1
lodovico	male	1
lion	male	1
lieuwe van	NA	1
lewis tobias	male	1
lewis gordon	male	1
lettice	female	1
letitia	female	1
leopold william	male	1
léonor d'	NA	1
leonhard	male	1
leonardo	male	1
lazzaro	male	1
laurence hynes	male	1
lat	NA	1
lancelot-voisin	NA	1
kenrick	male	1
kenneth	male	1
karol fryderyk	female	1
julie	female	1
jules	male	1
judith	female	1
juan tomás enríquez de	male	1
juan luis	male	1
josse de	male	1
josias carvil	male	1
joseph-gaspard-gilbert de	NA	1
joseph wilkinson	male	1
joseph pitton de	male	1
joseph octave	male	1
joseph marie	male	1
joseph gurney	male	1
joseph charles	male	1
joseph brown	male	1
josé	NA	1
joris van	male	1
jone	male	1
jonathan williams	male	1
john thomas	male	1
john spencer	male	1
john singleton	male	1
john shute	male	1
john prior	male	1
john pennington	male	1
john of bingley	male	1
john monck	male	1
john mascoll	male	1
john manners	male	1
john maitland	male	1
john k	male	1
john joshua	male	1
john i	male	1
john hay	male	1
john graves	male	1
john glen	male	1
john gabriel	male	1
john frederick	male	1
john francis	male	1
john foster	male	1
john ferdinand smyth	male	1
john fauchereaud	male	1
john edward	male	1
john cox	male	1
john cosens	male	1
john churchill	male	1
john christopher	male	1
john blair	male	1
john bernard	male	1
john baptist	male	1
john abraham	male	1
johannes von	male	1
johannes velmont van	male	1
johann wilhelm von	male	1
johann philipp	male	1
johann peter von	male	1
johann michael	male	1
johann gottlieb	male	1
johann david	male	1
johann bernhard	male	1
johan van	male	1
johan	male	1
joh friedrich guillus	male	1
joannes georgius	female	1
joan derk van der	female	1
jo v	female	1
jerónymo	NA	1
jerónimo	male	1
jerome	male	1
jens	male	1
jean-vincent	NA	1
jean-roland	NA	1
jean-louis guez	NA	1
jean-hugues duroy de	NA	1
jean-guillaume de	NA	1
jean-françois espic de	NA	1
jean-françois de	NA	1
jean-claude	male	1
jean-baptiste-donatien de vimeur	NA	1
jean t'serclaes	female	1
jean simon	female	1
jean paul	female	1
jean lerond d'	female	1
jean le royer	female	1
jean le rond d'	female	1
jean joseph	female	1
jean frédéric	female	1
jean françois de	female	1
jean de dieu-raymond de	female	1
jean d'	female	1
jean bochart	female	1
jean benoı̂t	female	1
jason	male	1
jas	male	1
jared	male	1
jaques-antoine	NA	1
james-brown	NA	1
james wilson	male	1
james solas	male	1
james m	male	1
james jones	male	1
james henry	male	1
james hay	male	1
james harris	male	1
james fitzjames	male	1
james dalrymple	male	1
james burnet	male	1
james a	male	1
jakob	male	1
jacques pineton de	male	1
j samuel	NA	1
j l jean-l	NA	1
j l	NA	1
j b d'	NA	1
j a	NA	1
ithiel	male	1
israël-bernard de	NA	1
isaac burke	male	1
iōsēph	NA	1
innocent	male	1
imre	male	1
hyde	male	1
humfrey	male	1
hugh o'neill	male	1
hubert	male	1
hovenden	NA	1
horatius	male	1
hopestill	NA	1
holloway whitfield	NA	1
hoca	NA	1
hobart	male	1
hew	male	1
hercules	male	1
henry somerset	male	1
henry seymour	male	1
henry sacheverell	male	1
henry pierrepont	male	1
henry norton	male	1
henry montagu	male	1
henry jermyn	male	1
henry james	male	1
henry cary	male	1
henry bourchier	male	1
henry bennet	male	1
henri de lorraine	male	1
henri de la tour d'auvergne	male	1
henri de	male	1
hendrik	male	1
hellen	female	1
helen	female	1
heinrich	male	1
hayward	male	1
hayman	NA	1
harry	male	1
hanserd	NA	1
habakkuk	male	1
h e	NA	1
gustaf mauritz	male	1
gulielmus	NA	1
guillaume-joseph	NA	1
guillaume-emmanuel-joseph guilhem de clermont-lodève	NA	1
guillaume françois	male	1
guilielmo	NA	1
griffith	male	1
griffin	male	1
grantham	male	1
girolamo	male	1
giovanni tommaso	male	1
giovanni domenico	male	1
giovan battista feliciano	male	1
giovan battista	male	1
gilbert bishop	male	1
gil	male	1
gideon	male	1
gianvincenzo	NA	1
gershom	male	1
gerolamo franchi di	male	1
gerardus	NA	1
gerald	male	1
georges	male	1
george william	male	1
george robert	male	1
george richards	male	1
george legge	male	1
george griffin	male	1
george forbes	male	1
george cockburn	male	1
george calvert	male	1
george brydges	male	1
george andrew	male	1
georg georgson	male	1
georg	male	1
garnet	female	1
gamaliel	male	1
gabriel-honoré de riquetti	NA	1
gabriel d'	male	1
g w	NA	1
g d	NA	1
fynes	NA	1
friedrich von	male	1
friedrich karl casimir	male	1
friedrich ernst von	male	1
friedrich daniel	male	1
freeman	male	1
frederick william hervey	male	1
frederick morton	male	1
franz	male	1
frantz siegmund	male	1
françois-henri de montmorency	NA	1
françois-hédelin	NA	1
françois-dominique de reynaud	NA	1
françois xavier	male	1
françois thérèse	male	1
françois rené jean de	NA	1
françois rené	male	1
françois paul	male	1
françois nicolaas	male	1
françois eudes de	NA	1
françois de lorraine	male	1
françois de bonne	male	1
francois	male	1
franciscus de	male	1
francis garden	male	1
francesco saverio	male	1
florimond-claude	NA	1
florence	female	1
fitzhugh	male	1
fernando alvarez de toledo	male	1
fer~nao lopes de	NA	1
félix	male	1
fanny	female	1
f a	NA	1
f	NA	1
ezerel	NA	1
eyre	NA	1
ewald friedrich	male	1
eve	female	1
eustache	male	1
euphemia maria dungan	female	1
etienne de	male	1
esaïe du mats de	NA	1
erycius	NA	1
eobald	NA	1
englehart	NA	1
emmanuel van	male	1
emmanuel joseph	male	1
emanuel d'	male	1
emanuel	male	1
ellert de	NA	1
ellenor	female	1
eliz	female	1
elie	male	1
eli	male	1
elhanan	NA	1
eleutherius	male	1
elam	male	1
egerton	NA	1
edwin	male	1
edward wortley	male	1
edward sackville	male	1
edward rowe	male	1
edward la	male	1
edward henry	male	1
edw	NA	1
edmond alexander	male	1
eberhard august wilhelm von	male	1
east	NA	1
dwight	male	1
dougal	male	1
donell	male	1
donatien-marie-joseph de vimeur	NA	1
dominique-joseph	NA	1
domingo	male	1
dirk van	male	1
dionysius van de	male	1
diego sarmiento de acuña	male	1
diane	female	1
deuel	male	1
dermond	NA	1
dermod	NA	1
dermitius	NA	1
denzil holles baron	male	1
denys	female	1
denis ivanovich	male	1
demophilus	NA	1
david william	male	1
david thomas	male	1
david s	male	1
david leslie	male	1
daniel roderick	male	1
damião de	NA	1
dalby	NA	1
d'blossiers	NA	1
cradock	NA	1
corbyn	male	1
corbett	male	1
consort of frederick i king of bohemia	NA	1
consider	NA	1
conrade	male	1
claudius	male	1
claude-louis	NA	1
claude-joseph	NA	1
claude prosper jolyot de	male	1
cipriano de	male	1
christopher frederic	male	1
christoph martin	male	1
christian wilhelm franz	male	1
christian frederick	male	1
christiaan van	male	1
chrétien guillaume de lamoignon de	NA	1
chileab	NA	1
chidly	NA	1
chidley	NA	1
chauncey	male	1
charlotte saumaise de chazan	female	1
charlotte	female	1
charles-marie de	NA	1
charles-louis	NA	1
charles-joseph	NA	1
charles-jean-françois	NA	1
charles-auguste	NA	1
charles william	male	1
charles stanley	male	1
charles pratt	male	1
charles philippe	male	1
charles louis auguste de fouquet	male	1
charles louis	male	1
charles joseph françois	male	1
charles john cary	male	1
charles jenkinson	male	1
charles howard	male	1
charles henri	male	1
charles gerard	male	1
charles george	male	1
charles geneviève louis auguste andré timothée d'	male	1
charles etienne pierre	male	1
charles douglas	male	1
charles cotesworth	male	1
charles calvert	male	1
charles brockden	male	1
charles alexander	male	1
chandler	male	1
cesare	male	1
celio augustino	male	1
catherine	female	1
castruccio	NA	1
casto innocente	male	1
carl heinrich von	male	1
carew	NA	1
camillo	male	1
camille	female	1
calvin	male	1
c g	NA	1
c e	NA	1
c c	NA	1
bonnell	female	1
bob	male	1
bertrand poirier de	male	1
bertrand d'	male	1
bernardo	male	1
bernardino de	male	1
bernard de	male	1
benjamine	male	1
ben	male	1
battista	male	1
bassett	NA	1
bartolomé	male	1
bartholomé de	NA	1
barnaby	male	1
barnabe	male	1
aylmer	male	1
augustus john hervey	male	1
auguste-pierre	NA	1
aubry de	female	1
arvid	male	1
arundell	NA	1
arthur-roger	NA	1
arthur herbert	male	1
arnoldus	NA	1
arnold	male	1
armand-guy	NA	1
armand louis	male	1
armand de gramont	male	1
archibald cochrane	male	1
arch	male	1
antonio pereira de	male	1
antónio de	NA	1
antónio de	NA	1
antonio d r	male	1
anton friedrich	male	1
antoine-françois-claude	NA	1
antoine perrenot de	male	1
antoine louis claude	male	1
antoine alexandre	male	1
anthony preston	male	1
anthony ashly cooper	male	1
anselme d'	male	1
anne-hilarion de cotentin	NA	1
anne jean	female	1
ann eliza	female	1
angelo	male	1
andré de	male	1
amabel hume-campbell	female	1
alvaro	male	1
alured henry	NA	1
alssenadro	NA	1
allen	male	1
alicia	female	1
alexandre-louis	NA	1
alexander fraser	male	1
alexander crowcher	male	1
albrecht von	male	1
albert	male	1
alberico	male	1
alan	male	1
agustin de	male	1
agostino	male	1
agathon marie rené de	male	1
adrianus	NA	1
abū al-maḥāsin yūsuf	NA	1
abraham h	male	1
abigail	female	1
abbé de	NA	1
abbé	NA	1
