original	polished	count
London	London	21428
[London	London	5250
[London]	London	2851
Dublin	Dublin	2447
Edinburgh	Edinburgh	1221
[London?	London	1142
Imprinted at London	London	1007
Philadelphia	Philadelphia Pa	570
Printed at London	London	529
[Philadelphia	Philadelphia Pa	472
London [England]	London	455
Boston	Boston	434
[S.l.	NA	424
[Edinburgh	Edinburgh	390
Londini	London	384
[Dublin	Dublin	348
[Boston	Boston	347
[New York	New York N.Y	295
Oxford	Oxford	236
[Edinburgh?	Edinburgh	208
[Oxford	Oxford	202
New-York	New York N.Y	192
Glasgow	Glasgow	179
[Edinburgh]	Edinburgh	176
Londres	London	175
[[London]	London	169
At London	London	164
Dublin [Ireland]	Dublin	163
A Londres	London	155
[London?]	London	151
[New York]	New York N.Y	146
[Boston]	Boston	143
[Philadelphia]	Philadelphia Pa	138
[Dublin]	Dublin	131
[Oxford]	Oxford	130
Printed at Oxford	Oxford	121
Londres [i.e. Paris?]	Paris	117
[Imprinted at London	London	105
[London, England]	London	104
[London, England	London	102
York	York	80
Oxonii	Oxford	80
Hartford	Hartford Ct	77
Edinburgi	Edinburgh	71
[Boston?	Boston	66
Cambridge	Cambridge	65
[Watertown, Mass.	Watertown Ma	64
[Edinburgh?]	Edinburgh	62
[Providence	Providence R.I	62
[United States	United States	59
[Dublin?	Dublin	58
Providence	Providence R.I	57
Norwich	Norwich	52
Edinburgh [Scotland]	Edinburgh	51
Oxoniæ	Oxford	49
Printed at Edinburgh	Edinburgh	48
Baltimore	Baltimore Md	48
[Philadelphia?	Philadelphia Pa	47
[S.l.]	NA	45
Cork	Cork	39
New-Haven	New Haven Ma	38
Oxford [i.e. London]	London	38
Excusum Londini	London	36
Printed at York	York	36
Bristol	Bristol	35
Cantabrigiæ	Cambridge	35
Lancaster [Pa.]	Lancaster Pa	34
Norwich [Conn.]	Norwich Ct	33
New-London [Conn.]	New London Ct	33
[Annapolis	Annapolis Md	32
[Norwich?	Norwich	31
[Oxford?	Oxford	30
Newcastle	Newcastle	30
[New York?	New York N.Y	28
Londres [i.e. Paris]	Paris	28
Birmingham	Birmingham	28
Salem [Mass.]	Salem Ma	27
Glasguae	Glasgow	27
Shrewsbury	Shrewsbury	26
Newcastle upon Tyne	Newcastle	26
Aberdeen	Aberdeen	26
Basil	Basel	26
London printed	London	26
[Londini	London	26
Williamsburg [Va.]	Williamsburg Va	25
Bath	Bath	25
Printed at Boston	Boston	25
[Charleston, S.C.	Charleston S.C	25
[Hartford	Hartford Ct	25
[Providence]	Providence R.I	25
[Newport, R.I.	Newport R.I	24
[Cambridge]	Cambridge	23
Boston, New-England	Boston Ma	23
Boston: N.E.	Boston Ma	23
[Imprynted at London	NA	23
Printed at Leith	Edinburgh	23
Paris	Paris	21
[Williamsburg, Va.	Williamsburg Va	21
Imprinted at Dublin	Dublin	21
Amsterdam	Amsterdam	20
A Londres [i.e. Paris?]	Paris	20
Manchester	Manchester	20
[Hartford?	Hartford Ct	20
Salisbury	Salisbury	19
Boston in New-England	Boston Ma	19
[Newport, R.I.]	Newport R.I	19
Imprinted at York	York	19
Belfast	Belfast	18
Philadelphia [Pa.]	Philadelphia Pa	18
Cambridge [Mass.]	Cambridge Ma	18
Newport [R.I.]	Newport R.I	18
[Amsterdam	Amsterdam	18
Quebec	Quebec	17
[Aberdeen	Aberdeen	17
Aberdene	Aberdeen	17
[Edinburgh, Scotland	Edinburgh	17
Perth	Perth	16
Exeter	Exeter	16
[Connecticut	Litchfield Ct	16
Albany	Albany N.Y	16
[Exeter, N.H.	Exeter N.H	16
Londres [i.e. Amsterdam?]	Amsterdam	16
[Excusum Londini	London	16
Printed at Oxford [i.e. London]	London	16
[Coventry?	Coventry	16
Bristoll	Bristol	15
[York]	York	15
[Fishkill, N.Y.	Fishkill N.Y	15
Printed at Kilkenny	Kilkenny	15
Manchester [England]	Manchester	15
[Cambridge	Cambridge	14
[Exeter, England]	Exeter	14
[Watertown, Mass.?	Watertown Ma	14
Dublinii	Dublin	14
[[London	London	14
Nottingham [England]	Nottingham	14
[New Orleans	New Orleans La	13
[Salem, Mass.]	Salem Ma	13
[New London, Conn.]	New London Ct	13
Exon	Exeter	13
Liverpool	Liverpool	13
Calcutta	Calcutta	13
[Dublin?]	Dublin	13
At Oxford	Oxford	13
[Amsterdam?	Amsterdam	13
Printed at Dublin	Dublin	13
[Amsterdam]	Amsterdam	13
Reprinted at Dublin	Dublin	13
Cork [Ireland]	Cork	13
[London [England]	London	13
[Bath]	Bath	12
Chester	Chester	12
[Middelburg	Middelburg	12
Edinbvrgh	Edinburgh	12
[Printed at London	London	12
[Oxford, i.e. London]	London	12
Re-printed at Edinburgh	Edinburgh	12
[Dublin, Ireland]	Dublin	12
[Glasgow]	Glasgow	11
Paisley	Paisley	11
[Cambridge, Mass.	Cambridge Ma	11
Boston, N.E.	Boston Ma	11
[Charleston, S.C.]	Charleston S.C	11
[United States?	United States	11
[Salem, Mass.	Salem Ma	11
[Norwich, Conn.]	Norwich Ct	11
Annapolis	Annapolis Md	11
Charleston [S.C.]	Charleston S.C	11
A Philadelphie	Philadelphia Pa	11
[Lancaster, Pa.	Lancaster Pa	11
[Hartford]	Hartford Ct	11
Londra	London	11
[Cork]	Cork	11
Calcutta [India]	Calcutta	11
[Whitehaven?	Whitehaven	10
[Bristol	Bristol	10
[York	York	10
[York?	York	10
[Richmond	Richmond	10
Canterbury	Canterbury	10
[Antwerp	Antwerp	10
Newcastle upon Tyne [England]	Newcastle	10
[Bath, England]	Bath	10
[Leith]	Edinburgh	9
[Glasgow?	Glasgow	9
[[New York]	New York N.Y	9
[Portsmouth, N.H.	Portsmouth N.H	9
Boston.	Boston	9
[Trenton	Trenton	9
Wilmington [Del.]	Wilmington De	9
Richmond	Richmond	9
Nottingham	Nottingham	9
Lynn	King's Lynn	9
Westminster	London	9
[[Edinburgh]	Edinburgh	9
[New Haven	New Haven Ma	8
New York	New York N.Y	8
[Glasgow	Glasgow	8
[Bristol]	Bristol	8
[Baltimore	Baltimore Md	8
Newport, Rhode-Island	Newport R.I	8
A Londres [i.e. Paris]	Paris	8
Ipswich	Ipswich	8
Colchester	Colchester	8
Corke	Cork	8
Oxon	Oxford	8
Imprynted at London	NA	8
Imprentit at Edinburgh	NA	8
[Cambridge, England	Cambridge	8
[Scotland	Edinburgh	8
[S.l	NA	8
Coventry [England]	Coventry	8
York [England]	York	8
[Edinburgh, Scotland]	Edinburgh	8
Shrewsbury [England]	Shrewsbury	8
[Rochester	Rochester	7
À Londres	London	7
[Bristol?	Bristol	7
[Cambridge?	Cambridge	7
[Boston, Mass.]	Boston Ma	7
[Boston, Mass.	Boston Ma	7
Philadelphia.	Philadelphia Pa	7
[New York?]	New York N.Y	7
[Savannah	Savannah Ga	7
[Burlington, N.J.	Burlington N.J	7
Newbury-Port [Mass.]	Newburyport Ma	7
Boston; New-England	Boston	7
N. London [i.e., New London, Conn.]	New London Ct	7
Printed at Worcester, Massachusetts	Worcester Ma	7
[New London, Conn.?	New London Ct	7
[Portsmouth, N.H.?	Portsmouth N.H	7
Eton	Eton	7
[Salisbury]	Salisbury	7
Hague	The Hague	7
Impressum Londini	London	7
Imprinted at Amsterdam	Amsterdam	7
At Amsterdam	Amsterdam	7
[[Dublin]	Dublin	7
[Sheffield, England]	Sheffield	7
Salisbury [England]	Salisbury	7
Reading [England]	Reading	7
[Bristol, England]	Bristol	7
[Dublin, Ireland	Dublin	7
Bristol [England]	Bristol	7
Bath [England]	Bath	7
Leeds	Leeds	6
[Exeter?	Exeter	6
[Holland?	Amsterdam	6
Halifax	Halifax	6
[New York, N.Y.	New York N.Y	6
[Worcester]	Worcester	6
Philadelphie [i.e. Paris?]	Paris	6
Boston [Mass.]	Boston Ma	6
[Albany]	Albany N.Y	6
[Burlington, N.J.?	Burlington N.J	6
[Portsmouth, N.H.]	Portsmouth N.H	6
[Charleston, S.C.?	Charleston S.C	6
Charles-Town [S.C.]	Charleston S.C	6
[Providence?	Providence R.I	6
Poughkeepsie [N.Y.]	Poughkeepsie N.Y	6
[Lancaster, Pa.?	Lancaster Pa	6
Litchfield [Conn.]	Litchfield Ct	6
York-Town [Pa.]	York Pa	6
[Concord, N.H.]	Concord N.H	6
[Hartford, Conn.]	Hartford Ct	6
Worcester	Worcester	6
Hull	Hull	6
[Newcastle upon Tyne	Newcastle	6
Bolton	Bolton	6
A Paris	Paris	6
Hague [i.e. London]	London	6
Printed at Paris	Paris	6
Imprinted at Edinburgh	Edinburgh	6
[Saint-Omer	St. Omer	6
[The Hague?	The Hague	6
In the Savoy [i.e. London]	London	6
Yorke	York	6
Printed at London, and re-printed at Edinburgh	NA	6
Rotterdam	Rotterdam	6
[Leith?	Edinburgh	6
Dvblin	Dublin	6
Printed by His Majesties command at Oxford	NA	6
[Edinburgh] Printed at London, and re-printed at Edinburgh	NA	6
[[London?]	London	6
Edinburgh [i.e. London?]	London	6
Reprinted at London	London	6
Birmingham [England]	Birmingham	6
Limerick [Ireland]	Limerick	6
A Londres [London, England]	London	6
Winchester [Va.]	Winchester Va	6
Aberdeen [Scotland]	Aberdeen	6
Canterbury [England]	Canterbury	6
Derby [England]	Derby	6
Leicester	Leicester	5
Barbados	Bridgetown Barbados	5
[Nottingham	Nottingham	5
[Poughkeepsie, N.Y.	Poughkeepsie N.Y	5
[Newburyport, Mass.]	Newburyport Ma	5
Norfolk [Va.]	Norfolk Va	5
[Pennsylvania?	Philadelphia Pa	5
Massachusetts-Bay: Worcester	Worcester Ma	5
Portsmouth [N.H.]	Portsmouth N.H	5
Watertown [Mass.]	Watertown Ma	5
[Newbern, N.C.	New Bern N.C	5
[Newport, R.I.?	Newport R.I	5
Salem [Mass.]: N.E.	Salem Ma	5
Philadelphie	Philadelphia Pa	5
[Exeter, N.H.?	Exeter N.H	5
[Baltimore]	Baltimore Md	5
Newbern [N.C.]	New Bern N.C	5
Germantown [Pa.]	Germantown Pa	5
[Paris]	Paris	5
Glocester	Glocester	5
[The Hague]	The Hague	5
A Londres [i.e. Amsterdam?]	Amsterdam	5
[Tunbridge Wells	Tunbridge Wells	5
Londres [i.e. The Hague]	The Hague	5
Limerick	Limerick	5
Sherborne	Sherborne	5
Londres [i.e. The Hague?]	The Hague	5
[Darlington	Darlington	5
Aberdoniæ	Aberdeen	5
Carlisle	Carlisle	5
Edimburgi	Edinburgh	5
Rochester	Rochester	5
[Westminster	London	5
Printed at Amsterdam	Amsterdam	5
[Paris	Paris	5
At Edinburgh	Edinburgh	5
[Hague	The Hague	5
[Imprinted at Edinburgh	Edinburgh	5
[Enprynted at London	NA	5
Printed at Waterford	Waterford	5
Printed at Yorke	York	5
Printed at the Hague	The Hague	5
Londini [i.e. Amsterdam]	Amsterdam	5
In the Savoy [London]	London	5
Antwerp	Antwerp	5
[Printed at Oxford	Oxford	5
[Liverpool, England]	Liverpool	5
[Hull, England]	Hull	5
[York, England]	York	5
[Glasgow, Scotland]	Glasgow	5
At Paris	Paris	4
[Manchester	Manchester	4
In Londra	London	4
[Londres	London	4
[London] In the Savoy	London	4
[England?	London	4
[Boston?]	Boston	4
[New-York	New York N.Y	4
[Scotland?	Edinburgh	4
[Halifax	Halifax	4
[Cambridge, Mass.]	Cambridge Ma	4
Burlington [N.J.]	Burlington N.J	4
[Salem, Mass.?	Salem Ma	4
Newburyport [Mass.]	Newburyport Ma	4
Carlisle [Pa.]	Carlisle Pa	4
[Worcester, Mass.?	Worcester Ma	4
Chelmsford [Mass.]	Chelmsford Ma	4
[Worcester, Mass.	Worcester Ma	4
[York, Pa.	York Pa	4
New London [Conn.]	New London Ct	4
[New Haven?	New Haven Ma	4
Kingston [N.Y.]	Kingston N.Y	4
Charlestown [S.C.]	Charleston S.C	4
[New Haven]	New Haven Ma	4
Lexington [Ky.]	Lexington Ky	4
Trenton	Trenton	4
Boston: New-England	Boston Ma	4
Chambersburg [Pa.]	Chambersburg Pa	4
[Wilmington, Del.	Wilmington De	4
[Augusta, Ga.?	Augusta Ga	4
New-Brunswick [N.J.]	New Brunswick N.J	4
Providence, in New-England	NA	4
[Québec	Quebec	4
Sheffield	Sheffield	4
Reading	Reading	4
[Shrewsbury]	Shrewsbury	4
Warrington	Warrington	4
[Paris?	Paris	4
[Sherborne]	Sherborne	4
[Birmingham]	Birmingham	4
A Edimbourg	Edinburgh	4
London [i.e. Dublin]	Dublin	4
Glasguæ	Glasgow	4
[Aberdeen?	Aberdeen	4
[Cork?	Cork	4
[Germany?	Hamburg	4
[Rotterdam]	Rotterdam	4
[Saint-Omer]	St. Omer	4
Printed at Vtrech [i.e. London	London	4
[England	London	4
[Holland	Amsterdam	4
Printed at Glasgow	Glasgow	4
Dublin [i.e. London]	London	4
Printed at London ;;and re-printed at Edinburgh	London	4
Reprinted at Oxford	Oxford	4
Hagh	The Hague	4
[Leith	Edinburgh	4
[London ?	London	4
At Rotterdam	Rotterdam	4
Printed at Bristoll	Bristol	4
[New York, N.Y.]	New York N.Y	4
Norwich [England]	Norwich	4
Waterford [Ireland]	Waterford	4
Glasgow [Scotland]	Glasgow	4
[Sherborne, England]	Sherborne	4
New York [N.Y.]	New York N.Y	4
Ipswich [England]	Ipswich	4
[Winchester, England]	Winchester	4
Liverpool [England]	Liverpool	4
Cambridge [England]	Cambridge	4
Kingston [Jamaica]	Kingston Jamaica	4
Middelburg	Middelburg	3
[Liverpool	Liverpool	3
Printed at Exeter	Exeter	3
[At London	London	3
[Canterbury]	Canterbury	3
A La Haye	The Hague	3
[Rotterdam	Rotterdam	3
Hanover	Hanover	3
Southampton	Southampton	3
Sunderland	Sunderland	3
[Paris?]	Paris	3
Londres [i.e. Hamburg?]	Hamburg	3
Oxoniae	Oxford	3
[Kingston, Jamaica	Kingston Jamaica	3
Exon [Exeter, England]	Exeter	3
[Quebec	Quebec	3
[Halifax?	Halifax	3
Boston in N.E.	Boston Ma	3
[New Orleans]	New Orleans La	3
[Litchfield, Conn.]	Litchfield Ct	3
Danvers [Mass.]	Danvers Ma	3
[Newburyport, Mass.?	Newburyport Ma	3
[Philadelphia?]	Philadelphia Pa	3
[Exeter, N.H.]	Exeter N.H	3
Exeter [N.H.]	Exeter N.H	3
[Watertown, Mass.]	Watertown Ma	3
[Williamsburg, Va.]	Williamsburg Va	3
Trenton [N.J.]	Trenton N.J	3
[Worcester, Mass.]	Worcester Ma	3
Boston, in New-England	Boston Ma	3
Windham [Conn.]	Windham Ct	3
Philadelphiae	Philadelphia Pa	3
[Massachusetts	Boston Ma	3
Hudson [N.Y.]	Hudson N.Y	3
Lansingburgh [N.Y.]	Lansingburgh N.Y	3
Worcester [Mass.]	Worcester Ma	3
[Stockbridge, Mass.]	Stockbridge Ma	3
[Albany?	Albany N.Y	3
[Litchfield, Conn.	Litchfield Ct	3
Fish-Kill [N.Y.]	Fishkill N.Y	3
[Germantown, Pa.]	Germantown Pa	3
[Plymouth?	Plymouth	3
[Chester]	Chester	3
[Newcastle?	Newcastle	3
Leedes	Leeds	3
Chesterfield	Chesterfield	3
[Copenhagen]	Copenhagen	3
Air	Ayr	3
[Twickenham]	Twickenham	3
Cantabrigiae	Cambridge	3
Etonæ	Eton	3
Llundain	London	3
Caerfyrddin	Carmarthen	3
Parisiis	Paris	3
Brussels [i.e. London?]	London	3
[Norwich]	Norwich	3
A Londres [Paris?]	London	3
Paris [i.e. London?]	London	3
Macclesfield	Macclesfield	3
Paris [i.e. London]	London	3
Darlington	Darlington	3
Paris [London]	Paris	3
Londres [i.e. Amsterdam]	Amsterdam	3
Tewkesbury	Tewkesbury	3
Woodbridge	Woodbridge N.J	3
[Cambridge?]	Cambridge	3
London and Westminster	London	3
Dundee	Dundee	3
Edinburgh printed	Edinburgh	3
Falkirk	Falkirk	3
Winchester	Winchester	3
[Norwich?]	Norwich	3
Dublin printed	Dublin	3
[Birmingham	Birmingham	3
[Oxford?]	Oxford	3
London]	London	3
London?]	London	3
London.	London	3
Middleburg [i.e. London]	London	3
Imprinted at Edinburgh [i.e. London]	London	3
Imprinted at London in Powles Churchyarde	London	3
Imprentit at Sanctandrois	NA	3
Tot Londen	London	3
[Imprinted at Londo[n]	London	3
A Edimbourg [i.e. Paris]	Paris	3
Printed by his Majesties speciall command at Cambridge	NA	3
[Kilkenny]	Kilkenny	3
[s.l.	NA	3
Londini [i.e. Utrecht]	Utrecht	3
Londoni	London	3
Loudon [sic]	London	3
Lonon [sic]	London	3
Kingston, Jamaica	Kingston Jamaica	3
Sheffield [England]	Sheffield	3
Halifax [Nova Scotia]	Halifax N.S	3
London [England	London	3
Galway [Ireland]	Galway	3
[Canterbury, England]	Canterbury	3
Baltimore [Md.]	Baltimore Md	3
New York [New York]	New York N.Y	3
Philadelphie [Philadelphia, Pa.	Philadelphia Pa	3
Doncaster [England]	Doncaster	3
[Stamford, England]	Stamford	3
[Newcastle upon Tyne, England]	Newcastle	3
London, [England]	London	3
[Jamaica	Kingston Jamaica	3
Oxon [Oxford]	Oxford	2
[Northampton	Northampton	2
[Northampton?	Northampton	2
Jamaica	Kingston Jamaica	2
Whitehaven	Whitehaven	2
London [i.e. Dublin?]	Dublin	2
Londres [i.e. Amsterdam	Amsterdam	2
[London,]	London	2
[London, ]	London	2
Printed at Delph in Holland	Delft	2
[Annapolis, Md.	Annapolis Md	2
[Harrisburg?	Harrisburgh Pa	2
[Savannah, Ga.	Savannah Ga	2
Londini [i.e. Germany]	Hamburg	2
Edinburghi	Edinburgh	2
Exeter, [England]	Exeter	2
Exeter [England]	Exeter	2
[Chester	Chester	2
Boston, in N.E.	Boston Ma	2
[Cambridge, Mass.?	Cambridge Ma	2
[New Jersey	Newark N.J	2
[Saint Augustine	St. Augustine Fl	2
[Massachusetts?	Boston Ma	2
[Newburyport, Mass.	Newburyport Ma	2
[Halifax, N.S.?	Halifax N.S	2
[New Jersey?	Newark N.J	2
[Danvers, Mass.]	Danvers Ma	2
Portsmouth, in New-Hampshire	Portsmouth N.H	2
Commonwealth of Massachusetts: Boston	Boston Ma	2
Newbury-Port: [Mass.]	Newburyport Ma	2
Warren (Rhode-Island)	Warren R.I	2
Portsmouth: New-Hampshire	Portsmouth N.H	2
Printed at Exeter [N.H.]	Exeter N.H	2
[Providence?]	Providence R.I	2
Printed at Portland [Me.]	Portland Me	2
Chatham [N.J.]	Chatham N.J	2
Worcester [Mass]	Worcester Ma	2
[Norwich, Conn.?	Norwich Ct	2
Providence (Rhode Island)	Providence R.I	2
[Williamsburg, Va.?	Williamsburg Va	2
[Norwich, Conn.	Norwich Ct	2
[Fishkill, N.Y.?	Fishkill N.Y	2
[Woodbridge, N.J.?	Woodbridge N.J	2
[New London, Conn.	New London Ct	2
Walpole, Newhampshire	Walpole N.H	2
Printed in Hudson [N.Y.]	Hudson N.Y	2
[Jacksonburgh, S.C.	Jacksonburgh S.C	2
[Halifax, N.C.?	Halifax N.C	2
[Lancaster Pa.	Lancaster Pa	2
Charles-Town [i.e., Charleston, S.C.]	Charleston S.C	2
[Boston] America	Boston Ma	2
Hagerstown [Md.]	Hagerstown Md	2
New-York.	New York N.Y	2
Massachuset; Boston	Boston Ma	2
Richmond [Va.]	Richmond Va	2
Westminster [Vt.]	Westminster Vt	2
A Philadelphie.	Philadelphia Pa	2
Reading [Pa.]	Reading Pa	2
Rutland [Vt.]	Rutland Vt	2
Salem [Mass.]; N.E.	Salem Ma	2
Springfield [Mass.]	Springfield Ma	2
York-town [Pa.]	York Pa	2
[United States]	United States	2
[Norfolk, Va.	Norfolk Va	2
[Richmond]	Richmond	2
[Albany, N.Y.	Albany N.Y	2
[Albany	Albany N.Y	2
Boston: in N.E.	Boston Ma	2
Savannah	Savannah Ga	2
Lancäster [Pa.]	Lancaster Pa	2
[Savannah?]	Savannah Ga	2
Portsmouth: N.H.	Portsmouth N.H	2
[New-London, Conn.]	New London Ct	2
[Annapolis]	Annapolis Md	2
Bennington [Vt.]	Bennington Vt	2
Philadelpaia [sic]	Philadelphia Pa	2
Boston: (Commonwealth of Massachusetts)	Boston Ma	2
Andover [Mass.]	Andover Ma	2
Printed at Stockbridge [Mass.]	Stockbridge Ma	2
[Amherst, N.H.]	Amherst N.H	2
Fish-kill [N.Y.]	Fishkill N.Y	2
[Newbern, N.C.?]	New Bern N.C	2
[Leominster, Mass.]	Leominster Ma	2
Halifax [N.S.]	Halifax N.S	2
Newbury [Mass.]	Newbury Ma	2
Londre	London	2
Wisbech	Wisbech	2
A Birmingham	Birmingham	2
Corte [i.e. London?]	London	2
Stamford	Stamford	2
Kelso	Kelso	2
London [i.e. Gainsborough]	Gainsborough	2
Chelmsford	Chelmsford	2
[Leeds]	Leeds	2
A Londres [i.e. Basle?]	Basel	2
[Newcastle upon Tyne]	Newcastle	2
Taunton	Taunton	2
Lichfield	Litchfield Ct	2
Abredoniæ	Aberdeen	2
Cirencester	Cirencester	2
Peterborough	Peterborough	2
[Bath	Bath	2
Gravesend	Gravesend	2
Dumfries	Dumfries	2
London-Derry	Londonderry	2
Newark	Newark	2
[Perth?	Perth	2
Howden	Howden	2
Londra [i.e. Venice?]	Venice	2
Londra[i.e. Venice]	Venice	2
Londres [Paris?]	London	2
[Birmingham?]	Birmingham	2
Waterford	Waterford	2
Londres [i.e. Brussels?]	Brussels	2
Londini [i.e. Paris]	Paris	2
[Glasgow?]	Glasgow	2
[Eton]	Eton	2
Sudbury	Sudbury	2
[Londres]	London	2
Edinborough	Edinburgh	2
[Darlington]	Darlington	2
Windsor	Windsor	2
Vienna	Vienna	2
[Birmingham?	Birmingham	2
Hereford	Hereford	2
Ludlow	Ludlow	2
Bury	Bury	2
[Plymouth	Plymouth	2
Lond.	London	2
[Downpatrick?	Downpatrick	2
A Edinbourg	Edinburgh	2
Preston	Preston	2
[Canterbury	Canterbury	2
Leith	Edinburgh	2
[Manchester]	Manchester	2
Hambourg [i.e. London]	London	2
Londres [i.e. Berlin]	Berlin	2
[Port-au-Prince]	Port-au-Prince	2
Londres [i.e. Winterthur	Winterthur	2
Maidstone	Maidstone	2
[London? :bs.n.	London	2
[Belfast?]	Belfast	2
London [i.e. The Hague]	The Hague	2
[Imprentit at Edinburgh	NA	2
At Oxford [i.e. London]	London	2
[Cologne	Cologne	2
Printed at Delph	Delft	2
[Utrecht	Utrecht	2
Lugduni Batavorum	Leiden	2
London [	London	2
Imprimé à Londres	London	2
Imprimè a Londres	London	2
Jmprinted at London	NA	2
Imprinted at Newcastle	Newcastle	2
Imprented at Edinburgh	NA	2
Ghedruckt tot Londen	London	2
Imprinted in London	London	2
Printed in Elisium [i.e. London]	London	2
A la Haye	The Hague	2
Printed at Vtrecht [i.e. London	London	2
Printed in Elisium [i.e. London	London	2
Lutetiæ Parisiorum [i.e. London]	London	2
[Cambridge and London]	NA	2
Printed at Amstelredam	Amsterdam	2
DublinI	Dublin	2
Printed at London [i.e. Holland	Amsterdam	2
[Emden	Emden	2
At S. Omers	St. Omer	2
Printed in Aberdene	Aberdeen	2
Prynted at London	NA	2
[Wesel?	Wesel	2
Louanii	London	2
At Delft [i.e. London	London	2
Printed at Rotterdam [i.e. London?]	London	2
Londoni [sic]	London	2
[Rouen	Rouen	2
Printed at VVaterford	Waterford	2
Printed by His Majesties command at Oxford [i.e. London]	London	2
Edinburgh [i.e. London]	London	2
Hagæ	The Hague	2
[Oxford, i.e. London?]	London	2
Printed at Corck	Cork	2
Printed at Delf in Holeand	Delft	2
Printed at Oxford, and reprinted at Shrewsbury	NA	2
[Kilkenny	Kilkenny	2
Imprinted at Bristoll	Bristol	2
Printed at Roüen	Rouen	2
Holy-Rood-House [i.e. Edinburgh]	Edinburgh	2
[Aberdeen]	Aberdeen	2
Reprinted at Edinburgh	Edinburgh	2
In the Savoy [i.e., London]	London	2
Printed at Corcke	Cork	2
Lodon [sic]	London	2
[[Edinburgh	Edinburgh	2
A Ratisbonne	Regensburg	2
Londom [sic]	London	2
Printed at Shrewsbury	Shrewsbury	2
Imprinted at Shrewsbury	Shrewsbury	2
Kilkenny	Kilkenny	2
[Nottingham?	Nottingham	2
Londgn [sic]	London	2
[London?] printed	London	2
Printed at Oxford [i.e. London?]	London	2
Bristoll [Avon]	Bristol	2
[Vevay,] Switzerland	Vevey	2
Edenburgh	Edinburgh	2
[Salisbury?	Salisbury	2
Nod-nol [i.e. London]	London	2
Hage	The Hague	2
Printed at Paris, cum privilegio	Paris	2
[Londonderry?	Londonderry	2
Londen [sic] [i.e. Cologne?]	Cologne	2
Nunc demum typis excusa Londinii	London	2
[In the Hague	The Hague	2
[Printed at the Hague	The Hague	2
[L]ondon	London	2
[London and Oxford]	NA	2
London, printed	London	2
Hagæ-Comitis [i.e. London]	London	2
York [i.e. London]	London	2
Oxford [i.e. London	London	2
Oxford [i.e., London]	London	2
Europe [i.e. London]	London	2
Octob. 10. London	London	2
Imprinted at Yondon [i.e. London]	London	2
Printed at Oxford [i.e. London	London	2
Oxford [i.e. London?]	London	2
Printed at Edinburgh [i.e. London]	London	2
Printed at Cambridge	Cambridge	2
Printed at Waterford in Ireland	Waterford	2
Lonkon [sic]	London	2
St. George's [Grenada]	St George's grenada	2
[Philadelphia, Pa.]	Philadelphia Pa	2
Hamburg [Germany]	Hamburg	2
[Dublin [Ireland]	Dublin	2
Litchfield (Connecticut)	Litchfield Ct	2
Staunton [Va.]	Staunton Va	2
Bury St. Edmunds [England]	Bury St. Edmunds	2
[Birmingham, England]	Birmingham	2
[Dumfries, Va.]	Dumfries Va	2
[Calcutta, India]	Calcutta	2
[Oxford, England	Oxford	2
[Fryeburg, Me.]	Fryeburg Me	2
Columbia [South Carolina]	Columbia S.C	2
Kelso [Scotland]	Kelso	2
[Aberdeen [Scotland]	Aberdeen	2
[Dundee, Scotland	Dundee	2
[Chelmsford, England]	Chelmsford	2
Belfast [Ireland]	Belfast	2
[Portsmouth, England]	Portsmouth	2
